Title,Start date,End date,Date to be decided,Location,Organisers,Meetings summary,Relevance to the post-2020 process,Link to further information,Groupings,2nd grouping (where appropriate),Relation to the CBD's post-2020 process
CBD SBSTTA-22,02/07/2018,07/07/2018,,"Montreal, Canada",CBD Secretariat,"The Convention on Biological Diversity's (CBD) twenty-second meeting of the Subsidiary Body on Scientific, Technical and Technological Advice (SBSTTA-22) will focus on scientific and technical preparation for the CBD COP in November 2018. ",The meeting will include discussions regarding the follow up to the Strategic Plan for Biodiversity 2011-2020. Of particular relevance will be the ongoing review of progress towards the Strategic Plan for Biodiversity 2011-2020 and options for accelerating progress. ,https://www.cbd.int/meetings/SBSTTA-22,Intergovernmental processes,,Part of the formal process
4th Blue Planet Symposium,04/07/2018,06/08/2018,,"Toulouse, France",Group on Earth Observations,"The 4th Group on Earth Observations (GEO) Blue Planet Symposium will serve as a forum for discussion of ocean and coastal information needs for sustainable development, Blue Growth and societal awareness. The symposium will bring together producers of ocean and coastal information and current and potential users of ocean and coastal information.","This event aims to bridge the gap between data and services, to deliver usable information that supports informed decision-making and address policy mandates toward reaching sustainable development.",http://symposium.geoblueplanet.com/,Marine-focus,,Other relevance
CBD SBI-2,09/07/2018,13/07/2018,,"Montreal, Canada",CBD Secretariat,The Convention on Biological Diversity's (CBD) second meeting of the Subsidiary Body on Implementation (SBI-2) will focus on progress in the implementation preparation for the CBD COP in November 2018. ,The meeting will include discussions regarding the follow up to the Strategic Plan for Biodiversity 2011-2020. Of particular relevance will be the ongoing review of implementation of the Strategic Plan for Biodiversity 2011-2020 and synergies with other conventions. ,https://www.cbd.int/meetings/SBI-02,Intergovernmental processes,,Part of the formal process
Committee on Fisheries (COFI 33),09/07/2018,13/07/2018,,"Rome, Italy",FAO,"The Food and Agriculture Organisation (FAO) Committee on Fisheries (COFI) presently constitutes a global inter-governmental forum where major international fisheries and aquaculture problems and issues are examined and recommendations addressed to governments, regional fishery bodies, NGOs, fish workers, FAO and the international community, periodically on a world-wide basis. ","The provisional agenda covers biodiversity, including biodiversity mainstreaming in the work of FAO concerning fisheries and aquaculture.",http://www.fao.org/about/meetings/cofi/en/,Intergovernmental processes,,Other relevance
High-level Political Forum on Sustainable Development 2018,09/07/2018,18/07/2018,,"New York City, US",UN Economic and Social Council,"The theme of the High-level Political Forum on Sustainable Development (HLPF) 2018 will be: ""Transformation towards sustainable and resilient societies"". The sub-set of Sustainable Development Goals (SDGs) to be reviewed in depth will be: SDG 6, 7, 11, 12, 15 and 17.  In addition, 48 countries are expected to present their Voluntary National Reviews (VNRs).",The HLPF has a central role in the follow-up and review of the 2030 SDGs at the global level. The forum provides an opportunity to demonstrate how biodiversity underpins all of the 17 SDGs. ,https://sustainabledevelopment.un.org/hlpf/2018,Intergovernmental processes,,Other relevance
Committee on Forests (COFO 24),16/07/2018,20/07/2018,,"Rome, Italy",FAO,"The Food and Agriculture Organisation (FAO) Committee on Forestry (COFO) brings together heads of forest services and other senior government officials to identify emerging policy and technical issues, to seek solutions and to advise FAO and others on appropriate action.",This Committee provides the opportunity to discuss linkages between biodiversity and forestry-related issues,http://www.fao.org/about/meetings/cofo/en/,Intergovernmental processes,,Other relevance
UNGA 73,18/09/2018,30/09/2018,,"New York City, US",United Nations,"73rd Session of the UN General Assembly (UNGA 73) will bring together all 193 Member States of the UN to discuss and work together on a wide array of international issues covered by the UN Charter, such as development, peace and security, international law. ",Member states are likely to make commitments on biodiversity that may be relevant to the development of the post-2020 biodiversity process.,http://www.un.org/en/ga/,Intergovernmental processes,,Other relevance
2018 G20 – Buenos Aires summit,30/11/2018,01/12/2018,,"Buenos Aires, Argentina",Argentina,The Group of Twenty (G20) is a forum for international cooperation on financial and economic issues. ,Decisions taken by the G20 aim to bring about reform at both the national and international level. This summit also provides the opportunity to discuss linkages between biodiversity and economic and financial issues.,https://www.g20.org/en,Intergovernmental processes,,Other relevance
Committee on Agriculture (COAG-26),01/10/2018,05/10/2018,,"Rome, Italy",FAO,"The Committee on Agriculture (COAG) is one of the Food and Agriculture Organisation (FAO)’s Governing Bodies which aims to provide policy and regulatory guidance on issues relating to agriculture, livestock, food safety, nutrition, rural development and natural resource management.",This meeting could provide an opportunity to consider pathways to sustainable food and agriculture that do not compromise biodiversity.,http://www.fao.org/coag/about-coag/en/,Intergovernmental processes,,Other relevance
Committee on World Food Security (CFS-46),14/10/2018,18/10/2018,,"Rome, Italy",FAO,The Food and Agriculture Organisation (FAO) Committee on World Food Security (CFS) is an international and intergovernmental platform for stakeholders to work together to address food security and nutrition-related issues. ,This meeting could provide an opportunity to enhance coordination among different sectors and establish linkages between biodiversity and food security.,http://www.fao.org/cfs/en/,Intergovernmental processes,,Other relevance
